weight,source,target
1,1,9
1,2,6
1,3,1
1,3,5
1,3,10
1,3,24
1,4,27
1,5,12
1,5,15
1,5,22
1,6,2
1,6,4
1,7,2
1,7,4
1,7,12
1,8,13
1,8,24
1,9,3
1,9,4
1,9,5
1,9,6
1,9,12
1,9,13
1,9,21
1,9,24
1,10,5
1,10,6
1,11,9
1,11,15
1,12,5
1,12,9
1,12,10
1,12,13
1,12,18
1,13,6
1,13,7
1,13,15
1,14,21
1,15,5
1,15,10
1,15,13
1,15,17
1,16,2
1,16,3
1,16,18
1,17,18
1,18,2
1,18,3
1,18,10
1,18,12
1,18,14
1,19,2
1,19,20
1,20,23
1,20,25
1,21,5
1,21,7
1,21,15
1,22,5
1,23,22
1,23,27
1,24,2
1,25,8
1,25,9
1,25,21
1,25,22
1,25,23
1,25,24
1,25,27
1,26,27
2,1,6
2,1,22
2,2,24
2,3,28
2,4,6
2,5,6
2,5,16
2,6,1
2,6,9
2,7,13
2,7,24
2,8,5
2,9,10
2,10,18
2,10,22
2,13,9
2,13,10
2,13,14
2,14,3
2,14,7
2,14,13
2,14,15
2,14,17
2,15,3
2,15,28
2,16,7
2,16,13
2,16,17
2,17,16
2,18,1
2,18,7
2,18,15
2,18,17
2,20,24
2,21,24
2,23,2
2,23,9
2,23,21
2,23,28
2,24,3
2,24,6
2,24,9
2,24,22
2,24,26
2,25,20
2,26,9
2,28,7
2,28,22
2,28,23
3,1,4
3,1,5
3,2,15
3,3,6
3,3,8
3,3,9
3,4,1
3,5,1
3,5,3
3,5,8
3,5,9
3,5,13
3,5,18
3,5,24
3,6,3
3,6,8
3,6,10
3,6,15
3,7,14
3,7,16
3,7,17
3,7,18
3,7,21
3,7,28
3,8,6
3,8,9
3,8,10
3,8,21
3,9,8
3,9,23
3,9,26
3,9,28
3,10,3
3,10,8
3,10,9
3,10,12
3,10,13
3,10,25
3,12,20
3,13,5
3,13,18
3,13,24
3,14,16
3,14,28
3,15,2
3,15,14
3,15,16
3,15,18
3,16,14
3,16,15
3,16,28
3,17,7
3,17,14
3,18,5
3,18,13
3,18,24
3,20,12
3,21,28
3,22,1
3,22,28
3,24,5
3,24,12
3,24,13
3,24,20
3,24,28
3,25,10
3,26,8
3,26,24
3,26,28
3,27,23
3,28,3
3,28,5
3,28,9
3,28,14
3,28,16
3,28,21
3,28,24
